a,0
b,21
c,14
d,72
e,38
f,23
g,9
h,39
i,5
j,57
k,0
l,2
m,66
n,9
o,58
p,15
r,25
s,0
t,31
u,34
v,0
w,0
x,36
y,18
z,19
